name,description,url
0d1n,"Web security tool to make fuzzing at HTTP inputs, made in C with libCurl.",https://github.com/CoolerVoid/0d1n
0trace,A hop enumeration tool.,http://jon.oberheide.org/0trace/
3proxy,Tiny free proxy server.,https://github.com/3proxy/3proxy
3proxy-win32,Tiny free proxy server.,http://3proxy.ru/
42zip,Recursive Zip archive bomb.,http://blog.fefe.de/?ts=b6cea88d
a2sv,Auto Scanning to SSL Vulnerability.,https://github.com/hahwul/a2sv
abcd,ActionScript ByteCode Disassembler.,https://github.com/MITRECND/abcd
above,Network Protocols Sniffer.,https://github.com/casterbyte/Above
abuse-ssl-bypass-waf,Bypassing WAF by abusing SSL/TLS Ciphers.,https://github.com/LandGrey/abuse-ssl-bypass-waf
acccheck,A password dictionary attack tool that targets windows authentication via the SMB protocol.,http://labs.portcullis.co.uk/tools/acccheck/
ace,Automated Corporate Enumerator. A simple yet powerful VoIP Corporate Directory enumeration tool that mimics the behavior of an IP Phone in order to download the name and extension entries that a given phone can display on its screen interface,http://ucsniff.sourceforge.net/ace.html
aclpwn,Active Directory ACL exploitation with BloodHound.,https://github.com/fox-it/aclpwn.py
activedirectoryenum,Enumerate AD through LDAP.,https://github.com/CasperGN/ActiveDirectoryEnumeration
ad-ldap-enum,An LDAP based Active Directory user and group enumeration tool.,https://github.com/CroweCybersecurity/ad-ldap-enum
ad-miner,Active Directory audit tool that extract data from Bloodhound to uncover security weaknesses and generate an HTML report,https://github.com/Mazars-Tech/AD_Miner
adape-script,Active Directory Assessment and Privilege Escalation Script.,https://github.com/hausec/ADAPE-Script
adassault,An Active Directory environments pentest tool complementary to existing ones like NetExec.,https://noraj.github.io/ADAssault/
adenum,A pentesting tool that allows to find misconfiguration through the the protocol LDAP and exploit some of those weaknesses with kerberos.,https://github.com/SecuProject/ADenum
adexplorersnapshot,AD Explorer snapshot parser.,https://github.com/c3c/ADExplorerSnapshot.py
adfind,"Simple admin panel finder for php,js,cgi,asp and aspx admin panels.",https://github.com/sahakkhotsanyan/adfind
adfspray,Python3 tool to perform password spraying against Microsoft Online service using various methods.,https://github.com/xFreed0m/ADFSpray
adidnsdump,Active Directory Integrated DNS dumping by any authenticated user.,https://github.com/dirkjanm/adidnsdump
admid-pack,ADM DNS spoofing tools - Uses a variety of active and passive methods to spoof DNS packets. Very powerful.,http://packetstormsecurity.com/files/10080/ADMid-pkg.tgz.html
